city,city_code,adcode,省份
湘潭市,7312,430300,湖南省
株洲市,7313,430200,湖南省
长沙市,7311,430100,湖南省
仙桃市,728,429000,湖北省
天门市,728,429000,湖北省
潜江市,728,429000,湖北省
神农架林区,719,429000,湖北省
恩施土家族苗族自治州,718,422800,湖北省
随州市,722,421300,湖北省
咸宁市,715,421200,湖北省
黄冈市,713,421100,湖北省
荆州市,716,421000,湖北省
孝感市,712,420900,湖北省
荆门市,724,420800,湖北省
鄂州市,711,420700,湖北省
襄阳市,710,420600,湖北省
宜昌市,717,420500,湖北省
十堰市,719,420300,湖北省
黄石市,714,420200,湖北省
武汉市,27,420100,湖北省
济源市,391,419000,河南省
驻马店市,396,411700,河南省
周口市,394,411600,河南省
信阳市,376,411500,河南省
商丘市,370,411400,河南省
南阳市,377,411300,河南省
三门峡市,398,411200,河南省
漯河市,395,411100,河南省
许昌市,374,411000,河南省
濮阳市,393,410900,河南省
焦作市,391,410800,河南省
新乡市,373,410700,河南省
鹤壁市,392,410600,河南省
安阳市,372,410500,河南省
平顶山市,375,410400,河南省
洛阳市,379,410300,河南省
开封市,378,410200,河南省
郑州市,371,410100,河南省
菏泽市,530,371700,山东省
滨州市,543,371600,山东省
聊城市,635,371500,山东省
德州市,534,371400,山东省
临沂市,539,371300,山东省
莱芜市,634,371200,山东省
日照市,633,371100,山东省
威海市,631,371000,山东省
泰安市,538,370900,山东省
济宁市,537,370800,山东省
潍坊市,536,370700,山东省
烟台市,535,370600,山东省
东营市,546,370500,山东省
枣庄市,632,370400,山东省
淄博市,533,370300,山东省
青岛市,532,370200,山东省
济南市,531,370100,山东省
上饶市,793,361100,江西省
抚州市,794,361000,江西省
宜春市,795,360900,江西省
吉安市,796,360800,江西省
赣州市,797,360700,江西省
鹰潭市,701,360600,江西省
新余市,790,360500,江西省
九江市,792,360400,江西省
萍乡市,799,360300,江西省
景德镇市,798,360200,江西省
南昌市,791,360100,江西省
宁德市,593,350900,福建省
龙岩市,597,350800,福建省
南平市,599,350700,福建省
漳州市,596,350600,福建省
泉州市,595,350500,福建省
三明市,598,350400,福建省
莆田市,594,350300,福建省
厦门市,592,350200,福建省
福州市,591,350100,福建省
宣城市,563,341800,安徽省
池州市,566,341700,安徽省
亳州市,558,341600,安徽省
六安市,564,341500,安徽省
宿州市,557,341300,安徽省
阜阳市,558,341200,安徽省
滁州市,550,341100,安徽省
黄山市,559,341000,安徽省
安庆市,556,340800,安徽省
铜陵市,562,340700,安徽省
淮北市,561,340600,安徽省
马鞍山市,555,340500,安徽省
淮南市,554,340400,安徽省
蚌埠市,552,340300,安徽省
芜湖市,553,340200,安徽省
合肥市,551,340100,安徽省
丽水市,578,331100,浙江省
台州市,576,331000,浙江省
舟山市,580,330900,浙江省
衢州市,570,330800,浙江省
金华市,579,330700,浙江省
绍兴市,575,330600,浙江省
湖州市,572,330500,浙江省
嘉兴市,573,330400,浙江省
温州市,577,330300,浙江省
宁波市,574,330200,浙江省
杭州市,571,330100,浙江省
宿迁市,527,321300,江苏省
泰州市,523,321200,江苏省
镇江市,511,321100,江苏省
扬州市,514,321000,江苏省
盐城市,515,320900,江苏省
淮安市,517,320800,江苏省
连云港市,518,320700,江苏省
南通市,513,320600,江苏省
苏州市,512,320500,江苏省
常州市,519,320400,江苏省
徐州市,516,320300,江苏省
无锡市,510,320200,江苏省
南京市,25,320100,江苏省
上海市,21,310000,上海市
大兴安岭地区,457,232700,黑龙江省
绥化市,455,231200,黑龙江省
黑河市,456,231100,黑龙江省
牡丹江市,453,231000,黑龙江省
七台河市,464,230900,黑龙江省
佳木斯市,454,230800,黑龙江省
伊春市,458,230700,黑龙江省
大庆市,459,230600,黑龙江省
双鸭山市,469,230500,黑龙江省
鹤岗市,468,230400,黑龙江省
鸡西市,467,230300,黑龙江省
齐齐哈尔市,452,230200,黑龙江省
哈尔滨市,451,230100,黑龙江省
延边朝鲜族自治州,433,222400,吉林省
白城市,436,220800,吉林省
松原市,438,220700,吉林省
白山市,439,220600,吉林省
通化市,435,220500,吉林省
辽源市,437,220400,吉林省
四平市,434,220300,吉林省
吉林市,432,220200,吉林省
长春市,431,220100,吉林省
葫芦岛市,429,211400,辽宁省
朝阳市,421,211300,辽宁省
铁岭市,24,211200,辽宁省
盘锦市,427,211100,辽宁省
辽阳市,419,211000,辽宁省
阜新市,418,210900,辽宁省
营口市,417,210800,辽宁省
锦州市,416,210700,辽宁省
丹东市,415,210600,辽宁省
本溪市,414,210500,辽宁省
抚顺市,24,210400,辽宁省
鞍山市,412,210300,辽宁省
大连市,411,210200,辽宁省
沈阳市,24,210100,辽宁省
阿拉善盟,483,152900,内蒙古自治区
锡林郭勒盟,479,152500,内蒙古自治区
兴安盟,482,152200,内蒙古自治区
乌兰察布市,474,150900,内蒙古自治区
巴彦淖尔市,478,150800,内蒙古自治区
呼伦贝尔市,470,150700,内蒙古自治区
鄂尔多斯市,477,150600,内蒙古自治区
通辽市,475,150500,内蒙古自治区
赤峰市,476,150400,内蒙古自治区
乌海市,473,150300,内蒙古自治区
包头市,472,150200,内蒙古自治区
呼和浩特市,471,150100,内蒙古自治区
吕梁市,358,141100,山西省
临汾市,357,141000,山西省
忻州市,350,140900,#N/A
运城市,359,140800,山西省
晋中市,354,140700,山西省
朔州市,349,140600,山西省
晋城市,356,140500,山西省
长治市,355,140400,山西省
阳泉市,353,140300,山西省
大同市,352,140200,山西省
太原市,351,140100,山西省
衡水市,318,131100,河北省
廊坊市,316,131000,河北省
沧州市,317,130900,河北省
承德市,314,130800,河北省
张家口市,313,130700,河北省
保定市,312,130600,河北省
邢台市,319,130500,河北省
邯郸市,310,130400,河北省
秦皇岛市,335,130300,河北省
唐山市,315,130200,河北省
石家庄市,311,130100,河北省
天津市,22,120000,天津市
北京市,10,110000,北京市
